MSFT,INTC,GIS,AMD,NVDA,JNJ,AMZN,PFE,MCD,FDX,Date
258.829987,39.16,74.25,87.540001,170.240005,172.460007,121.139999,51.77,250.380005,228.169998,7/25/2022
251.899994,38.959999,74.410004,85.25,165.330002,173.679993,114.809998,52.299999,257.089996,224.869995,7/26/2022
268.73999,40.18,73.82,89.82,177.899994,173.199997,120.970001,51.950001,258.890015,227.630005,7/27/2022
276.410004,39.709999,74.599998,91.669998,179.839996,174.199997,122.279999,50.720001,263.459991,229.809998,7/28/2022
280.73999,36.310001,74.790001,94.470001,181.630005,174.520004,134.949997,50.509998,263.369995,233.089996,7/29/2022
278.01001,36.959999,75.699997,96.779999,184.410004,173.910004,135.389999,50.610001,264.230011,237.699997,8/1/2022
274.820007,36.009998,75.68,99.290001,185.259995,172.919998,134.160004,49.689999,261.049988,233.270004,8/2/2022
282.470001,36.52,75.599998,98.089996,188.929993,174.589996,139.520004,49.860001,262.089996,233.190002,8/3/2022
283.649994,35.66,75.519997,103.910004,192.149994,171.789993,142.570007,49.860001,260.640015,236.100006,8/4/2022
282.910004,35.389999,76.169998,102.309998,189.889999,171.110001,140.800003,49.27,259.230011,234.889999,8/5/2022
280.320007,35.380001,76.360001,100.07,177.929993,170.199997,139.410004,49.57,256.799988,229.020004,8/8/2022
282.299988,34.52,77.029999,95.540001,170.860001,170.179993,137.830002,49.779999,260.059998,224.970001,8/9/2022
289.160004,35.369999,77.580002,99.050003,180.970001,170.669998,142.690002,49.950001,261.359985,232.449997,8/10/2022
287.019989,35.59,76.959999,98.120003,179.419998,167.139999,140.639999,48.290001,259.279999,229.240005,8/11/2022
291.910004,36.110001,77,100.830002,187.089996,165.300003,143.550003,50.110001,262.179993,230.679993,8/12/2022
293.470001,36.34,76.639999,101.010002,190.320007,166.089996,143.179993,49.75,265.440002,233.210007,8/15/2022
292.709991,36.189999,77.440002,100.199997,188.789993,167.570007,144.779999,49.860001,266.290009,238.220001,8/16/2022
291.320007,35.779999,77.139999,98.269997,183.350006,167.580002,142.100006,49.27,266.820007,233.419998,8/17/2022
290.170013,36.200001,77.5,100.440002,187.729996,166.770004,142.300003,48.580002,266.579987,234.869995,8/18/2022
286.149994,35.380001,77.970001,95.949997,178.490005,169.309998,138.229996,49.150002,266.540009,231.729996,8/19/2022
277.75,33.84,77.5,92.839996,170.339996,167.589996,133.220001,48.900002,262.950012,223.570007,8/22/2022
276.440002,33.950001,77.870003,92.489998,171.809998,166.130005,133.619995,48.009998,260.540009,225.259995,8/23/2022
275.790009,33.860001,78.449997,92.730003,172.220001,165.580002,133.800003,47.43,260.859985,226.059998,8/24/2022
278.850006,34.889999,77.900002,97.18,179.130005,167.130005,137.279999,47.900002,262.559998,228.029999,8/25/2022
268.089996,33.360001,76.32,91.18,162.600006,164.270004,130.75,46.82,256.950012,218.160004,8/26/2022
265.230011,32.939999,77.220001,88.489998,158.009995,163,129.789993,46.23,255.660004,216.729996,8/29/2022
262.970001,32.259998,76.980003,86.940002,154.679993,162.429993,128.729996,45.849998,253.490005,213.479996,8/30/2022
261.470001,31.92,76.800003,84.870003,150.940002,161.339996,126.769997,45.23,252.279999,210.809998,8/31/2022
260.399994,31.76,77.160004,82.330002,139.369995,165.339996,127.82,46.630001,256.470001,211.860001,9/1/2022
256.059998,31.219999,76.720001,80.239998,136.470001,162.740005,127.510002,45.700001,254.509995,208.720001,9/2/2022
253.25,30.360001,75.300003,78.720001,134.649994,163.179993,126.110001,45.759998,254.389999,204.169998,9/6/2022
258.089996,30.65,76.279999,79.610001,137.139999,164.070007,129.479996,46.130001,258.420013,201.619995,9/7/2022
258.519989,30.75,75.629997,82.779999,139.899994,165.389999,129.820007,47.080002,260.079987,202.869995,9/8/2022
264.459991,31.459999,75.910004,85.449997,143.869995,165.710007,133.270004,47.84,259.519989,209.070007,9/9/2022
266.649994,31.559999,76.150002,84.639999,145.050003,165.639999,136.449997,47.759998,260.369995,213.839996,9/12/2022
251.990005,29.290001,74.349998,77.029999,131.309998,161.330002,126.82,46.189999,254.330002,205.339996,9/13/2022
252.220001,29.18,74.419998,77.449997,131.279999,164.660004,128.550003,46.150002,255.720001,205.009995,9/14/2022
245.380005,28.84,75.07,76.660004,129.289993,165.080002,126.279999,45.939999,253.470001,204.869995,9/15/2022
244.740005,29.24,75.25,76.510002,131.979996,167.600006,123.529999,46.029999,254.910004,161.020004,9/16/2022
244.520004,29.440001,75.830002,76.769997,133.820007,166.279999,124.660004,45.439999,257.01001,162.899994,9/19/2022
242.449997,28.959999,75.410004,75.25,131.759995,164.970001,122.190002,44.77,255.399994,157.399994,9/20/2022
238.949997,28.469999,79.720001,74.480003,132.610001,163.279999,118.540001,43.919998,251.080002,153.25,9/21/2022
240.979996,28.07,80.779999,69.5,125.610001,166.179993,117.309998,44.57,247.940002,154.539993,9/22/2022
237.919998,27.52,79.169998,67.959999,125.160004,166.720001,113.779999,44.080002,245.949997,149.330002,9/23/2022
237.449997,26.969999,78.660004,66.300003,122.279999,165.699997,115.150002,43.830002,243.759995,142.899994,9/26/2022
236.410004,26.889999,77.970001,67.169998,124.129997,164.940002,114.410004,44.09,236.699997,144.949997,9/27/2022
241.070007,27.129999,78.790001,68.360001,127.360001,166.360001,118.010002,44.43,236.940002,149.990005,9/28/2022
237.5,26.379999,77.709999,64.139999,122.199997,164.529999,114.800003,44.16,234.399994,152.309998,9/29/2022
232.899994,25.77,76.610001,63.360001,121.389999,163.360001,113,43.759998,230.740005,148.470001,9/30/2022
240.740005,26.969999,78.480003,66.110001,125.120003,163.199997,115.879997,44.139999,235.339996,151.460007,10/3/2022
248.880005,27.700001,78.5,67.900002,131.669998,165.619995,121.089996,44.459999,238.5,159.119995,10/4/2022
249.199997,27.639999,77.690002,67.940002,132.089996,165.110001,120.949997,44.119999,239.089996,156.869995,10/5/2022
246.789993,27.18,74.970001,67.849998,131.300003,161.910004,120.300003,43.09,234.75,155.190002,10/6/2022
234.240005,25.719999,75.349998,58.439999,120.760002,160.199997,114.559998,42.32,233.190002,154.410004,10/7/2022
229.25,25.200001,76.410004,57.810001,116.699997,160.410004,113.669998,41.75,234.949997,153.210007,10/10/2022
225.410004,25.040001,77.389999,57.630001,115.860001,162.729996,112.209999,41.919998,237.050003,152.080002,10/11/2022
225.75,25.33,77.360001,57.849998,115,162.690002,112.900002,42.029999,237.059998,152.889999,10/12/2022
234.240005,26.42,78.82,58.939999,119.599998,165.149994,112.529999,42.98,246.75,156.25,10/13/2022
228.559998,25.91,77.709999,55.939999,112.269997,164.460007,106.900002,42.860001,243.160004,156.960007,10/14/2022
237.529999,26.42,77.410004,57.959999,118.879997,166.589996,113.790001,43.650002,246.479996,156.979996,10/17/2022
238.5,25.870001,78.269997,57.919998,119.669998,166.009995,116.360001,44.09,249.190002,156.300003,10/18/2022
236.479996,26,78.129997,57.23,120.510002,164.690002,115.07,43.110001,250.75,152.960007,10/19/2022
236.149994,26.08,76.669998,57.77,121.940002,165.110001,115.25,42.91,249.770004,150.139999,10/20/2022
242.119995,26.969999,77.040001,58.82,124.660004,168.710007,119.32,44.950001,254.550003,153.229996,10/21/2022
247.25,27.18,77.620003,58.700001,125.989998,170.979996,119.82,45.540001,255.320007,154.759995,10/24/2022
250.660004,27.41,78.300003,61.470001,132.610001,170.710007,120.599998,45.59,255.729996,155.800003,10/25/2022
231.320007,27.209999,78.360001,59.73,128.960007,172.210007,115.660004,46.060001,256.609985,157.960007,10/26/2022
226.75,26.27,79.870003,58.599998,131.759995,172.309998,110.959999,45.740002,265.109985,156.910004,10/27/2022
235.869995,29.07,81.57,62.009998,138.339996,174.869995,103.410004,47.43,274.519989,160.369995,10/28/2022
232.130005,28.43,81.580002,60.060001,134.970001,173.970001,102.440002,46.549999,272.660004,160.279999,10/31/2022
